"Registration number","Date and number of the decision","The complete and reduced name","OGRN, INN","Information on compulsory liability insurance contracts for causing losses to the debtor","The address","Address of the website","Email address","Restrictions on the methods of interaction, the period of validity of the restriction","Decision date and number about an exception of information","Risk category of harm (damage) (1 - low, 2 - medium, 3 - significant, 4 - high)"
"531","25.05.2023, 50922/23/173539-АТ","Общество с ограниченной ответственностью Профессиональная коллекторская организация ""КВАНТ», ООО ПКО «КВАНТ»","ОГРН 1235000017482, ИНН 5032353255","АО «Зетта Страхование», период действия договора с 05.04.2026 по 04.04.2027","143005, Московская область, г.о. Одинцовский, г. Одинцово, Можайское ш., стр. 80Б, офис 205","quantcollect.ru","info@quantcollect.ru","","","1"
"532","25.05.2023, 34922/23/33514-ГК","Общество с ограниченной ответственностью Профессиональная коллекторская организация «Диджитал Груп», ООО ПКО «ДГ»","ОГРН 1233400003264, ИНН 3444279198","ООО «Абсолют Страхование», период действия договора, с 18.04.2026 по 17.04.2027","123022, г. Москва, вн.тер.г. муниципальный округ Пресненский, ул. 2-я Звенигородская, д. 13, стр.43, помещ. 2/1","digital-group.tech","savinov@digital-group.tech info@digital-group.tech","","","1"
"533","09.06.2023, 77922/23/218968-НБ","Общество с ограниченной ответственностью Профессиональная коллекторская организация «Дата Коллект», ООО ПКО «Дата Коллект»","ОГРН 1237700291828, ИНН 9709093097","СПАО «Ингосстрах», период действия договора с 30.05.2025 по 29.05.2026","603022, Нижегородская область, г.о. город Нижний Новгород, г. Нижний Новгород, ул. Тимирязева, д. 15, к. 2, помещ. П408","datacollectors.ru","datacollectors@inbox.ru","","","1"
"534","13.06.2023, 29922/23/21800-ИЮ","Общество с ограниченной ответственностью ПРОФЕССИОНАЛЬНАЯ КОЛЛЕКТОРСКАЯ ОРГАНИЗАЦИЯ ""ПРАВИЛЬНЫЙ ВЫБОР"", ООО ПКО ""ПРАВИЛЬНЫЙ ВЫБОР""","ОГРН 1132932002642, ИНН 2902077051","ООО «Абсолют Страхование», период действия договора с 02.11.2025 по 01.11.2026","164514, Архангельская область, г. Северодвинск, ул. Карла Маркса,  д. 46, офис 404","prav-vibor.ru","info@prav-vibor.ru","","","1"
"535","29.06.2023, 39907/23/19442-АК","Общество с ограниченной ответственностью ПРОФЕССИОНАЛЬНАЯ КОЛЛЕКТОРСКАЯ ОРГАНИЗАЦИЯ «БАЛТИЙСКИЙ КОЛЛЕКТОР», ООО «ПКО «БАЛТИЙСКИЙ КОЛЛЕКТОР»","ОГРН 1223900003480, ИНН 3906411936","ООО «Абсолют Страхование», период действия договора с 08.08.2025 по 07.08.2026","428003, Чувашская Республика – Чувашия, г.о. город Чебоксары, г. Чебоксары, пер. Бабушкина, д. 9, помещ. 2","balcol.ru","balcol@bk.ru","","","1"
"536","05.07.2023,  74922/23/48157-ЮТ","Общество с ограниченной ответственностью Профессиональная Коллекторская организация «Фрейр», ООО ПКО «Фрейр»","ОГРН 1227400029779, ИНН 7404075364","СПАО «Ингосстрах», период действия договора с 27.06.2025 по 26.06.2026","456205,  Челябинская область, г.о.Златоустовский, г. Златоуст, ул. им. Е.И. Пугачева, д. 10, кв. 73","freyr.su","Freirzlat@mail.ru","","","1"
"537","07.07.2023,  58918/23/23605-НИ","Общество с ограниченной ответственностью Профессиональная коллекторская организация «Каста Групп», ООО ПКО «Каста Групп»","ОГРН 1215800009303,  ИНН 5837081290","ООО «Абсолют Страхование», период действия договора с 30.11.2025 по 29.11.2026","440046,  Пензенская область, г.о. город Пенза, г. Пенза, г. Пенза, ул. Мира, д. 44а, офис 216","Долги58.рф","kgpnz58@mail.ru","","","1"
"538","12.07.2023 26919/23/45852-МЗ","Общество с ограниченной ответственностью профессиональная коллекторская организация «Финансовый омбудсмен», ООО ПКО «Финансовый омбудсмен»","ОГРН 1152651011314, ИНН 2635209961","ООО «Абсолют Страхование», период действия договора с 04.06.2026 по 03.06.2027","355000,  Ставропольский край, ул. Дзержинского,  д. 160, пом. 172","fin-ombudsmen.ru","info@fin-ombudsmen.ru","","","1"
"539","01.08.2023, 59922/23/1543609-ЕК","Общество с ограниченной ответственностью Профессиональная коллекторская организация «Базовые инвестиции», ООО ПКО «БИ»","ОГРН 1135904012166, ИНН 5904291793","ПАО СК ""Росгосстрах"", период действия договора с 08.07.2025 по 07.07.2026","614016, Пермский край, г. Пермь, ул. Куйбышева, д. 71","mediatorinfo.ru","mail@mediatorinfo.ru","","","1"
"540","01.08.2023, 77922/23/1143923-НБ","Общество с ограниченной ответственностью «Профессиональная коллекторская организация «Правовой центр Лидер», ООО «ПКО «Правовой центр Лидер»","ОГРН 1197746364133, ИНН 7726453892","ООО «Абсолют Страхование», период действия договора с 20.07.2025 по 19.07.2026","17570, г. Москва, ул. Чертановская, д. 48, к. 2, кв. 503, ком. 2","ooopcl.ru","ooopcl@mail.ru","","","1"
"541","01.08.2023, 77922/23/1143922-НБ","Общество с ограниченной ответственностью «Профессиональная коллекторская организация «Кредитор», ООО «ПКО «Кредитор»","ОГРН 1197746143473, ИНН 7716932938","САО «ВСК», период действия договора с 11.04.2025 по 10.04.2026","15172, г. Москва, Котельническая наб., д. 25, стр. 1, офис 15","dolgi-pgr.ru","x05@rambler.ru","","","1"
"542","02.08.2023, 76907/23/28887-РР","Общество с ограниченной ответственностью Профессиональная коллекторская организация «Содействие Коллект», ООО ПКО «Содействие Коллект»","ОГРН 1237600003585, ИНН 7627058108","ООО «Абсолют страхование», период действия договора с 18.07.2025 по 17.07.2026","427960, Удмуртская Республика г.о. город Сарапул, г. Сарапул, ул. Гагарина,  зд. 26, офис 1","pkosodcollect.ru","sodeistviekollekt@mail.ru","","","1"
"543","04.08.2023, 47922/23/27977-ИК","Общество с ограниченной ответственностью «ПРОФЕССИОНАЛЬНАЯ КОЛЛЕКТОРСКАЯ ОРГАНИЗАЦИЯ «АСВ.УСЛУГИ», ООО «ПКО «АСВ.УСЛУГИ»","ОГРН 1234700003867, ИНН 4706056997","ООО «Абсолют Страхование», период действия договора с 11.04.2026 по 10.04.2027","188669,  Ленинградская область, м.р-н Всеволожский,  г.п. Муринское,  г. Мурино,  ул. Центральная, д. 46","ASV-USLUGI.RU","main@asv-uslugi.ru, collection@asv-uslugi.ru","","","1"
"544","07.08.2023, 64922/23/66987-ИР","Общество с ограниченной ответственностью Профессиональная коллекторская организация «Эгида», ООО ПКО «Эгида»","ОГРН 1236400005335, ИНН 6449105426","АО «АльфаСтрахование», период действия договора с 15.06.2026 по 14.06.2027","413116, Саратовская область,  г. Энгельс, ул. Промышленная, д. 3, офис 308","egida64.ru","oooegida2023@mail.ru","","","1"
"545","22.08.2023, 34922/23/53987-ГК","Общество с ограниченной ответственностью Профессиональная коллекторская организация «ЗОРГ», ООО ПКО «ЗОРГ»","ОГРН 1233400007060, ИНН 3444279776","ООО «Абсолют Страхование», период действия договора с 04.08.20235по 03.08.2026","358004, Республика Калмыкия, г.о. Элиста, г. Элиста, ул. Физкультурная, д. 25, помещ. 1","zorg.org.ru","org@zorg.org.ru","","","1"
"546","30.08.2023, 77922/23/1596865-НК","Общество с ограниченной ответственностью Профессиональная коллекторская организация «Кремлин Групп», ООО ПКО «К-Групп»","ОГРН 1237700261050, ИНН 9714008058","АО «АльфаСтрахование», период действия договора с 03.07.2024 по 02.07.2025","125124, г. Москва, вн.тер.г. муниципальный округ Беговой, ул. 5-я Ямского поля, д. 7, к. 2, помещ. 1А","k-gr.ru","branishti@k-gr.ru","","","1"
"547","31.08.2023, 77922/231597742-НК","Акционерное общество «Профессиональная коллекторская организация «РЦБ», АО «ПКО «РЦБ»","ОГРН 1227700624491, ИНН 9726023244","ООО «Абсолют Страхование», период действия договора с 07.08.2025 по 06.08.2026","117152, г. Москва, вн.тер.г. муниципальный округ Донской, пр-кт Севастопольский, д. 9, к. 2, подв./помещ./ком. -/II/2А","rcb-collect.ru","info@rcbankrot.com","","20.05.2026, 77922/26/169277-АТ",""
"548","13.09.2023, 34922/23/58181-НЖ","Общество с ограниченной ответственностью ПРОФЕССИОНАЛЬНАЯ КОЛЛЕКТОРСКАЯ ОРГАНИЗАЦИЯ «БК», ООО ПКО «БК»","ОГРН 1233400007785, ИНН 3444279945","ООО «Абсолют Страхование», период действия договора с 25.08.2025 по 24.08.2026","400005, Волгоградская область, г.о. Город-герой Волгоград, г. Волгоград, ул. Советская, д. 28, помещ. 4","bk.org.ru","ooo_bk33@bk.ru org@bk.org.ru","","","1"
"549","15.09.2023, 77922/23/2043761-НК","Общество с ограниченной ответственностью «Профессиональная коллекторская организация «Справедливость», ООО «ПКО Справедливость»","ОГРН 1237700341251, ИНН 7734477671","ООО Абсолют Страхование, период действия договора с 19.08.2025 по 18.08.2026","105082,  г. Москва,  вн.тер.г. муниципальный округ Басманный,  ул. Большая Почтовая, д. 18Б","kaspravedlivost.ru","info@kaspravedlivost.ru","","","1"
"550","15.09.2023, 77922/23/2043762-НК","Общество с ограниченной ответственностью «Профессиональная коллекторская организация «Доверие», ООО «ПКО «Доверие»","ОГРН 1237700369653, ИНН 9731115437","ООО Абсолют Страхование, период действия договора с 19.09.2025 по 18.09.2026","121087,  г. Москва,  вн.тер.г.муниципальный округ Филевский парк, ул. Барклая, д. 6, стр. 5, помещ. 22И","uadoverie.ru","uadoverie@mail.ru","","","1"
"551","25.09.2023, 21907/23/29205-СР","Общество с ограниченной ответственностью «Профессиональная коллекторская организация «Морган», ООО ПКО «Морган»","ОГРН 1202100009792, ИНН 2130222826","СПАО «Ингосстрах», период действия договора с 10.08.2025 по 09.08.2026","428003, Чувашская Республика – Чувашия, г.о. город Чебоксары, г. Чебоксары, ул. Энгельса, д. 18, помещ. 1, офис 3","e-morgan.ru","info@e-morgan.ru","","","1"
"552","26.09.2023 № 66922/23/1486939-АС","Общество с ограниченной ответственностью Профессиональная коллекторская организация «МАЯК КОЛЛЕКТ», ООО ПКО «МАЯК КОЛЛЕКТ»","ОГРН 1236600049795,  ИНН 6671280460","АО «Совкомбанк страхование» период действия договора с 01.08.2025 по 31.07.2026","620014,  Свердловская область, г. Екатеринбург,  ул. Малышева, д. 19, оф. 2313","mayak-kollekt.ru","contact@mayak-kollekt.ru  Info@mayak-kollekt.ru","","","1"
"553","27.09.2023, 77922/23/2342101-НК","Общество с ограниченной ответственностью Профессиональная коллекторская организация «Кредитный оздоровитель»,  ООО ПКО «Кредитный оздоровитель»","ОГРН 5117746002039,  ИНН 7715895257","ООО «Абсолют Страхование», период действия договора с 21.09.2024 по 20.09.2025","115191, г. Москва,  ул. Малая Тульская, д. 2/1, к. 5","oookolaw.ru","lav_1@mail.ru oookolaw@mail.ru","","","1"
"554","27.09.2023, 54922/23/116769-СН","Обществ с ограниченной ответственностью Профессиональная коллекторская организация «Фридом-Инвест»,  ООО ПКО «Фридом-Инвест»","ОГРН 1185476068755,  ИНН 5402045635","АО «Совкомбанк страхование», период действия договора с 29.08.2025 по 28.08.2026","630082,  Новосибирская область,  г.о. город Новосибирск, г. Новосибирск, ул. Дачная,  зд. 60А, помещ. 208","free-inv.ru","1inv@bk.ru","","","1"
"555","11.10.2023, 77922/23/3052383-НК","Общество с ограниченной ответственностью Профессиональная коллекторская организация «Ваш долг»,  ООО ПКО «Ваш долг»","ОГРН 1237700607352,  ИНН 9726053295","СПАО «Ингосстрах», период действия договора с 25.09.2025 по 24.09.2026","141100,  Московская область, г.о. Щёлково, г. Щёлково, пер. 1-й Советский, стр. 25Б, к. 3, помещ. 6","vash-dolg.ru","vashdolg2023@mail.ru","","","3"
"556","12.10.2023 56922/23/51803-АЩ","Общество с ограниченной ответственностью профессиональная коллекторская организация «ПрофиКоллект»,  ООО ПКО «ПрофиКоллект»","ОГРН 1195658017906, ИНН 5611085180","АО «Совкомбанк страхование», период действия договора c 02.09.2025 по 01.09.2026","460035,  Оренбургская область, г. Оренбург, ул. Орская, д. 14","profikollekt.ru","profikollekt@mail.ru","","","1"
"557","19.10.2023, 63922/23/263766-ЗМ","Общество с ограниченной ответственностью профессиональная коллекторская организация «Куратор», ООО ПКО «Куратор»","ОГРН 1236300017557, ИНН 6316284222","СПАО «Ингосстрах», период действия договора c 25.08.2025 по 24.08.2026","443086,  Самарская область, г.о. Самара вн.р-н Октябрьский, г. Самара, ул. Ерошевского,  д. 3, офис 10","qurator.ru","kurator-ka@mail.ru","","12.12.2025, 63922/25/89821",""
"558","23.10.2023, 51907/23/94222-АМ","Общество с ограниченной ответственностью «Профессиональная коллекторская организация «Санколлект»,  ООО «ПКО «Санколлект»","ОГРН 1235100002158, ИНН 5190095134","000 «Абсолют Страхование», пеирод действия договора с 01.06.2024 по 31.05.2025","183038, Мурманская область, г. Мурманск,  ул. Траловая, д. 38, офис 6","suncollekt.ru","PRAVEZHUA@GMAIL.COM","","","1"
"559","03.11.2023, 71907/23/634400-ЭК","Общество с ограниченной ответственностью профессиональная коллекторская организация «ТЛГ», ООО ПКО «ТЛГ»","ОГРН 1227100010092, ИНН 7100025192","СПАО «Ингосстрах», период действия договора с 01.09.2025 по 31.08.2026","300000,  Тульская область. г.Тула, ул. Каминского, д. 6/36, оф. 2, эт. 2, литер Л","dialogtl.ru","email@dialogtl.ru","","","1"
"560","14.11.2023, 73922/23/43303-ЕВ","Общество с ограниченной ответственностью «Профессиональная коллекторская организация «Финэква», ООО «ПКО «Финэква»","ОГРН 1237300009561, ИНН 7300023241","СПАО «Ингосстрах», период действия договора с 01.10.2025 по 30.09.2026","432071, Ульяновская область, г.о. город Ульяновск,  г Ульяновск,  ул Карла Маркса,  д. 13А, к. 1, помещ./этаж 47/3,","fineqva.ru","info@fineqva.ru","","","1"
"561","14.11.2023, 48907/23/302938-ГМ","Общество с ограниченной ответственностью «Профессиональная коллекторская организация «Негосударственный судебный исполнитель», ООО «Профессиональная коллекторская организация «НСИ»","ОГРН 1234800006308, ИНН 4800007806","СПАО «Ингосстрах», период действия договора с 12.10.2025 по 11.10.2026","398050,  Липецкая область, г.о. город Липецк, г. Липецк,  площадь имени Г.В. Плеханова,  д. 1Б, помещ. 5,  литера А, офис 506-7","collector-rus.ru","konsi48@rambler.ru","","","3"
"562","21.11.2023, 05907/23/30935-АА","Общество с ограниченной ответственностью Профессиональная коллекторская организация «Айва», ООО ПКО «Айва»","ОГРН 1220500014558,  ИНН 0572032070","ООО «Абсолют Страхование», период действия договора с 30.10.2025 по 29.10. 2026","367000,  Республика Дагестан, г.о. город Махачкала, г. Махачкала, вн.р-н Советский район,  ул Дзержинского,  д. 17, к. Б, офис 804","aiwaka.ru","info@aiwaka.ru","","","1"
"563","23.11.2023, 77922/23/3359269-НК","Общество с ограниченной ответственностью Профессиональная коллекторская организация «РБ Коллект» ООО ПКО «РБ Коллект»","ОГРН 1207700264090, ИНН 7743344357","СПАО «Ингосстрах», период действия договора с 19.10.2025 по 18.10.2026","127287,  г. Москва, вн.тер.г.муниципальный округ Савеловский, ул. Хуторская 2-я,  д.38 а, стр. 26","rbcollect.ru","rbc_mailbox@tbank.ru","","","1"
"564","05.12.2023, 18922/23/94376-ИН","Общество с ограниченной ответственностью Профессиональная коллекторская организация «ЗАЙМ ЭКСПРЕСС», ООО ПКО «ЗАЙМ ЭКСПРЕСС»","ОГРН 1231800011497,  ИНН 1800001206","ООО «Абсолют Страхование», период действия договора с 15.08.2025 по 14.08.2026","427440,  Удмуртская Республика,  г.о. город Воткинск,  г. Воткинск,  ул. Кирова, д. 70, помещение 18","zaimvot.ru","info@zaimvot.ru","","","1"
"565","07.12.2023,  59922/23/1580960-АА","Общество с ограниченной ответственностью Профессиональная коллекторская организация «Альберо»,  ООО ПКО «Альберо»","ОГРН 1235900020751,  ИНН 5903158566","СПАО «Ингосстрах», период действия договора с 21.11.2025 по 20.11.2026","614094,  Пермский край,  г.о. Пермский, г. Пермь, ул. Горняков, д. 6,  кв. 16","albero-perm.ru","89028000900@mail.ru","","","1"
"566","12.12.2023, 08907/23/21968-РМ","Общество с ограниченной ответственностью «Профессиональная коллекторская организация «ХАРД», ООО «ПКО «ХАРД»","ОГРН 1230800005292, ИНН 0800010907","ООО «Абсолют Страхование», период действия договора с 20.09.2025 по 19.09.2026","660075, Красноярский край, г. Красноярск, ул. Маерчака,  д.8, стр. 9, офис 413","PKOHARD.RU","pkohard@bk.ru","","","1"
"567","12.12.2023, 08907/23/21969-РМ","Общество с ограниченной ответственностью «Профессиональная коллекторская организация «СОФТ», ООО «ПКО «СОФТ»","ОГРН 1230800005259, ИНН 0800010872","ООО «Абсолют Страхование», период действия договора с 20.09.2025 по 19.09.2026","121087,  г. Москва, вн.тер.г.муниципальный округ Филевский парк, ул, Барклая,  д. 6, стр. 5,  помещ. 22И/4","PKOSOFT.RU","pkosoft@bk.ru","","",""
"568","19.12.2023, 18922/23/96526-ИН","Общество с ограниченной ответственностью Профессиональная коллекторская организация «Надежда-18», ООО ПКО «Надежда-18»","ОГРН 1141838001700, ИНН 1838016040","СПАО «Ингосстрах», период действия договора с 05.07.2025 по 04.07.2026","427960,  Удмуртская Республика, г.о. город Сарапул, г. Сарапул,  ул. Советская, д. 5","твоидолги.рф","nadezhda-collection@bk.ru","","","1"
"569","20.12.2023, 63922/23/470592-СК","Общество с ограниченной ответственностью профессиональная коллекторская организация «Контур», ООО ПКО «Контур»","ОГРН 1236300017546, ИНН 6311196251","АО «СПАО «Ингосстрах», период действия договора с 08.11.2025 по 07.11.2026","443093,  Самарская область, г.о. Самара, вн.р-н Железнодорожный,  г. Самара,  ул. Мориса Тореза,  д. 1А, офис 511.","kontur7.ru","expired@kontur7.ru","","","4"
"570","28.12.2023, 14907/23/450965-СЧ","Общество с ограниченной ответственностью Профессиональная коллекторская организация «Восход», ООО ПКО «Восход»","ОГРН 1161447055879, ИНН 1435307582","САО «ВСК», период действия договора с 09.12.2025 по 08.12.2026","677000, Республика Саха (Якутия), г. Якутск, ул. Петра Алексеева, д.21 кв. 2","vsxd.ru","ooo_voskhod_ykt@mail.ru","","","1"
"571","15.01.2024, 77922/24/965-НК","Общество с ограниченной ответственностью Профессиональная коллекторская организация «Управляющая компания «Ф»»,  ООО ПКО «Управляющая компания «Ф»»","ОГРН 1237700412146,  ИНН 9710116140","ООО «Абсолют Страхование», период действия договора с 18.09.2025 по 17.09.2026","123001,  г. Москва, вн.тер.г. муниципальный округ Пресненский, пер. Трёхпрудный, д. 11/13, стр. 2,помещ. 4/1","fmc-collector.ru","fmc-collector@mail.ru","","","1"
"572","16.01.2024, 34922/24/3141-ГК","Общество с ограниченной ответственностью «ПРОФЕССИОНАЛЬНАЯ КОЛЛЕКТОРСКАЯ ОРГАНИЗАЦИЯ «А1»», ООО «ПКО «А1»»","ОГРН 1233400010777, ИНН 3444280242","ПАО «Росгосстрах» период действия договора с 28.11.2025 по 27.11.2026","400074, Волгоградская область,  г.о. город-герой Волгоград, г. Волгоград,  ул. Рабоче-Крестьянская,  д. 48, этаж 2, помещ. 6-8","pkoa1.ru","info@pkoa1.ru","","","4"
"573","26.01.2024, 18922/24/7893-ИН","Общество с ограниченной ответственностью Профессиональная коллекторская организация «ВИВ»,  ООО ПКО «ВИВ»","ОГРН 1211800010256, ИНН 1840104688","СПАО «Ингосстрах», период действия договора с 19.12.2025 по 18.12.2026","427848,  Удмуртская Республика М.О. Киясовский район, с. Подгорное,  ул. Ленина, д. 59, кв. 2","kaviv.ru","oookaviv@yandex.ru","","","1"
"574","02.02.2024, 65907/24/1550-АК","Общество с ограниченной ответственностью профессиональная коллекторская организация «Лекс и Партнёры», ООО ПКО «Лекс и Партнёры»","ОГРН 1236500003981, ИНН 6500011347","СПАО «Ингосстрах»,  период действия договора  с 10.11.2025 по 09.11.2026","693023,  Сахалинская область,  г.о. город Южно-Сахалинск,  г. Южно-Сахалинск,  ул. Комсомольская,  д. 245В, кв. 1","lex65.ru","lex.yura@mail.ru","","","3"
"575","06.03.2024, 54922/24/126405-СН","Общество с ограниченной ответственностью профессиональная коллекторская организация «Самлер»,  ООО «Самлер»","ОГРН 1235400040897, ИНН 5410147743","АО «Абсолют страхование», период действия договора С 12.02.2026 11.02.2027","630559,  Новосибирская область, г. о. Рабочий Поселок Кольцово, рп. Кольцово, ул. Технопарковая, д. 5, кв. 247","samler.ru","info@samler.ru","","","1"
"576","13.03.2024, 54922/24/127836-СН","Общество с ограниченной ответственностью Профессиональная коллекторская организация «Коала Коллекшн», ООО ПКО «Коала Коллекшн»","ОГРН 1245400000273, ИНН 5473013580","АО «АльфаСтрахование», период действия договора с 08.02.2026 по 07.02.2027","630055, Новосибирская область, г. о. город Новосибирск, г. Новосибирск, ул. Гнесиных, д. 10/1","koala-c.ru","koala-collection@yandex.ru","","","1"
"577","14.03.2024, 16922/24/12833-АЗ","Общество с ограниченной ответственностью «Профессиональная коллекторская организация «Дебт Коллект», ООО «ПКО «Дебт Коллект»","ОГРН 1241600002236, ИНН 1650431310","СПАО «Ингосстрах», период действия договора с 13.02.2026 по 12.02.2027","423815 Республика Татарстан, г. Набережные Челны, пр. им. Вахитова, д. 20Б, каб. 6, 7","debtcoll.ru","debtcoll@yandex.ru","","","1"
"578","14.03.2023, 16922/24/12863-АЗ","Общество с ограниченной ответственностью «Профессиональная коллекторская организация «Финотека», ООО «ПКО «Финотека»","ОГРН 1121690004776, ИНН 1660162659","СПАО «Ингосстрах», период действия договора с 01.01.2026 по 31.12.2026","421001,  Республика Татарстан, г. Казань,  ул. Чистопольская,  д. 61Д, помещ. 2014","пко-финотека.рф","finoteka.ooopko@yandex.ru","","","1"
"579","15.03.2024, 77922/24/279635-НК","Общество с ограниченной ответственностью «Профессиональная коллекторская организация «Крокс-М» ООО «ПКО «Крокс-М»","ОГРН 1237700637217, ИНН 7751268808","СПАО «Ингосстрах», период действия договора с 08.12.2025 по 07.12.2026","109004, г. Москва, вн.тер.г. муниципальный округ Таганский, пер. Большой Дровяной,  д. 6","krocs-m.ru","pko_krocs-m@mail.ru","","","1"
"580","20.03.2024, 66922/24/542524-АС","Общество с ограниченной ответственностью «ПРОФЕССИОНАЛЬНАЯ КОЛЛЕКТОРСКАЯ ОРГАНИЗАЦИЯ ВОКСИС»,  ООО «ПКО ВОКСИС»","ОГРН 1046603500426, ИНН 6670056296","СПАО «Ингосстрах», период действия договора  с 01.03.2026 по 28.02.2027","117342, г. Москва, вн.тер.г. муниципальный округ Коньково, ул. Бутлерова, д. 17,помещ. 112/4","voxyscollect.ru","info@voxyscollect.ru","","","3"
"581","21.03.2024, 54922/24/13147 6-СН","Общество с ограниченной ответственностью Профессиональная коллекторская организация «ЭРГОН», ООО ПКО «ЭРГОН»","ОГРН 1245400000647 ИНН 5402081270","АО «Зетта Страхование», период действия договора с 06.03.2026 по 05.03.2027","630049, Новосибирская область, г. о. город Новосибирск, г. Новосибирск,  ул. Линейная, зд. 28, помещ. 311А","ergonconsult.ru","info@ergoncollect.ru","","","1"
"582","22.03.2024, 11922/24/11275-ДК","Общество с ограниченной ответственностью ""Профессиональная коллекторская организация «ЖЭУ 9"",  ООО ПКО «ЖЭУ 9»","ОГРН 1141103001027, ИНН 1103012673","ООО «Абсолют Страхование», период действия договора с 17.10.2025 до 16.10.2026","167000, Республика Коми, г. Сыктывкар, ул. Первомайская, д. 149, помещ 321","dolg9.ru","biteh2012@gmail.com","","","1"
"583","16.04.2024, 33907/24/13997-ЕП","Общество с ограниченной ответственностью профессиональная коллекторская организация «Центр Правовых Услуг», ООО ПКО ЦПУ","ОГРН1163328050930, ИНН 3327131529","АО «АльфаСтрахование», период действия договора, с 01.04.2025 по 31.03.2030","600021, Владимирская область,  г. Владимир,  ул. Красноармейская, д. 43-Б, офис 6, помещ. 1","cpu33.ru","info@cpu33.ru","","","1"
"584","17.04.2024,  03907/24/78344-КЩ","Общество с ограниченной ответственностью «Профессиональная коллекторская организация ТАЛААН»","ОГРН 1230300004549,  ИНН 0300015086","СПАО «Ингосстрах», период действия договора с 01.04.2026 по 31.03.2027","670047, Республика Бурятия,  г. Улан-Удэ,  ул. Сахьяновой д.5, офис 3,4,5 (4-й этаж)","talaan03.ru","oootalaan@gmail.com","","","1"
"585","22.04.2024, 52922/24/22995-АЮ","Общество с ограниченной ответственностью «Профессиональная коллекторская организация «Займ-Коллект»,  ООО «ПКО «Займ-Коллект»","ОГРН 1245200005555, ИНН 5260494128","САО «ВСК», период действия договора, с 25.03.2026 по 24.03.2027","603093,  Нижегородская область, г. Нижний Новгород,  ул. Ковровская,  д. 21А, помещ. 517","zaymcollect.ru","zaimcollect@yandex.ru","","","1"
"586","27.04.2024, 54922/24/14258 1-СН","Общество с ограниченной ответственностью «Профессиональная коллекторская организация «Астрент», ООО «ПКО «Астрент»","ОГРН 1235400049092, ИНН 5406836892","ООО «Абсолют Страхование», период действия договора  с 01.04.2026 по 31.03.2027","630091,  Новосибирская область, г.о. город Новосибирск,  г. Новосибирск,  ул. Фрунзе, зд. 5","astrent-nsk.ru","info@astrent-nsk.ru","","","1"
"587","15.05.2024 26922/24/32709-МЗ","Общество с ограниченной ответственностью профессиональная коллекторская организация информационно-консалтинговый центр «Правило», ООО ПКО ИКЦ «Правило»","ОГРН 1232600009707, ИНН 2635258239","АО «Совкомбанк страхование», период действия договора с 07.03.2026 по 06.03.2027","355037, Ставропольский край, г. Ставрополь, ул. Доваторцев, д. 30Б","Ikc-pravilo.ru","pravilo.26@yandex.ru","","","1"
"588","16.05.2024 26922/24/32899-МЗ","Общество с ограниченной ответственностью Профессиональная коллекторская организация «Центр финансово-юридического консалтинга», ООО ПКО «ЦФК»","ОГРН 1232600007848, ИНН 2635257732","АО «Совкомбанк страхование», период действия договора с 15.04.2026 по 14.04.2027","355029, Ставропольский край, г.о. город Ставрополь, г. Ставрополь, ул. Ленина, д. 468","cfk-collection.ru","cfk026@gmail.com","","","1"
"589","16.05.2024, 77922/24/1454674-НК","Общество с ограниченной ответственностью Профессиональная коллекторская организация «Сервисный ипотечный агент», ООО ПКО «СИА»","ОГРН 1237700408307, ИНН 9704214076","СПАО «Ингосстрах», период действия договора с 11.03.2025 по 10.03.2026","119285,  г. Москва, вн.тер.г.муниципальный округ Раменки,  5-й км МЖД Киевское, д.1, стр.1","siagent.ru","info@siagent.ru","","","1"
"590","24.05.2024, 59922/24/49643-АТ","Общество с ограниченной ответственностью «Профессиональная коллекторская организация «ХГФ», ООО «ПКО «ХГФ»","ОГРН 1245900003249, ИНН 5919033548","АО «Совкомбанк страхование»,  период действия договора с 08.04.2025 по 06.04.2026","618547,  Пермский край,  г. о. Соликамский,  г. Соликамск,  ул. Володарского,  д. 12, кв. 40","HG-FINANCE.RU","dk@happy-phone.ru","","","1"
"591","30.05.2024, 52922/24/56976-АЮ","Общество с ограниченной ответственностью «Профессиональная коллекторская организация ЭРА»,  ООО «ПКО ЭРА»","ОГРН 1245200008734, ИНН 5258157478","ПАО СК «Росгосстрах»,  период действия договора с 17.04.2026 по 16.04.2027","603140,  Нижегородская область, г. Нижний Новгород,  пр-кт. Ленина, д. 16 Б, помещ. 513","ka-era.ru","inf@ka-era.ru","","","1"
"592","04.06.2024, 16922/24/162172-АЗ","Общество с ограниченной ответственностью «Профессиональная коллекторская организация «Фон развития инфраструктурных проектов», ООО «ПКО «ФРИП»","ОГРН 1211600047064, ИНН 1659216290","САО «ВСК», период действия договора с 30.06.2025 по 29.06.2026","420054,  Республика Татарстан, г.о. город Казань,  г. Казань,  ул. Промысловая,  д. 5, помещ. 1005","центрвзыскания.рф","fondrazvitiya2mail","","","1"
